Mouser #,Mfr. #,Manufacturer,Customer #,Description,RoHS,Lifecycle,Order Qty.,Price (USD),Ext.: (USD)
581-08055C104K,08055C104KAT2A,AVX,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .1uF X7R 0805 10%,RoHS Compliant By Exemption,,38,$0.041,$1.56
581-SA105E104M,SA105E104MAA,AVX,,Multilayer Ceramic Capacitors MLCC - Leaded 50volts 0.1uF 20% Z5U,RoHS Compliant,,4,$0.11,$0.44
271-100K-RC,271-100K-RC,Xicon,,Metal Film Resistors - Through Hole 100Kohms 1% 50PPM,RoHS Compliant,,41,$0.018,$0.74
271-10K-RC,271-10K-RC,Xicon,,Metal Film Resistors - Through Hole 10Kohms 1% 50PPM,RoHS Compliant,,35,$0.018,$0.63
271-150K-RC,271-150K-RC,Xicon,,Metal Film Resistors - Through Hole 150Kohms 1% 50PPM,RoHS Compliant,,9,$0.13,$1.17
271-2K-RC,271-2K-RC,Xicon,,Metal Film Resistors - Through Hole 2Kohms 1% 50PPM,RoHS Compliant,,1,$0.13,$0.13
271-120K-RC,271-120K-RC,Xicon,,Metal Film Resistors - Through Hole 120Kohms 1% 50PPM,RoHS Compliant,,12,$0.018,$0.22
291-2.2M-RC,291-2.2M-RC,Xicon,,Carbon Film Resistors - Through Hole 2.2Mohms 0.05,RoHS Compliant,,4,$0.13,$0.52
271-1K-RC,271-1K-RC,Xicon,,Metal Film Resistors - Through Hole 1Kohms 1% 50PPM,RoHS Compliant,,10,$0.018,$0.18
271-33K-RC,271-33K-RC,Xicon,,Metal Film Resistors - Through Hole 33Kohms 1% 50PPM,RoHS Compliant,,3,$0.13,$0.39
271-1.0M-RC,271-1.0M-RC,Xicon,,Metal Film Resistors - Through Hole 1.0Mohms 1% 50PPM,RoHS Compliant,,10,$0.018,$0.18
271-47K-RC,271-47K-RC,Xicon,,Metal Film Resistors - Through Hole 47Kohms 1% 50PPM,RoHS Compliant,,16,$0.018,$0.29
